,outlier_value,outlier_title,origin_context,centroid,covariance,fit_context,new_centroid,new_covariance,score
49,[223.531 -15.867],Shout It Out,Burning Spear,[141.7782234 -12.6401383],"[[ 6.26905907e+02 -3.87614682e-01]
 [-3.87614682e-01  5.99035597e+00]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.7385445070443055
50,[69.187 -8.194],Old marcus garvey,Burning Spear,[141.7782234 -12.6401383],"[[ 6.26905907e+02 -3.87614682e-01]
 [-3.87614682e-01  5.99035597e+00]]",Fashawn,[112.76475  -9.27975],"[[2461.14172349  -19.55022789]
 [ -19.55022789    3.15694529]]",0.9766428297752803
51,[ 84.39  -16.206],Mister Garvey,Burning Spear,[141.7782234 -12.6401383],"[[ 6.26905907e+02 -3.87614682e-01]
 [-3.87614682e-01  5.99035597e+00]]",The Watersons,[ 92.98890625 -17.196625  ],"[[614.96718008 -18.75410606]
 [-18.75410606  11.99845823]]",0.40824969406272693
52,[153.805 -21.811],Find The Cost Of Freedom,Crosby_ Stills_ Nash & Young,[112.93867857 -13.02325   ],"[[1072.69744636   26.13339181]
 [  26.13339181   14.16038919]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.5545897965485563
53,[ 69.698 -25.16 ],Lady Of The Island  (Digitally Remastered LP Version),Crosby_ Stills & Nash,[127.19825926 -14.12767901],"[[949.81511351   7.73574163]
 [  7.73574163  10.80147712]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.3660422695250477
54,[ 69.789 -24.887],Lady Of The Island  [Remastered LP Version],Crosby_ Stills & Nash,[127.19825926 -14.12767901],"[[949.81511351   7.73574163]
 [  7.73574163  10.80147712]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.44736698596375385
55,[212.979 -20.243],Daylight Again  (LP Version),Crosby_ Stills & Nash,[127.19825926 -14.12767901],"[[949.81511351   7.73574163]
 [  7.73574163  10.80147712]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",1.5896293041408995
56,[ 94.471 -26.586],4 + 20,Crosby_ Stills_ Nash and Young,[113.14904167 -13.84220833],"[[2224.31510596   83.69839276]
 [  83.69839276   17.51922383]]",Peter Brötzman / Han Bennink,[ 93.51533333 -27.51      ],"[[112.50758589  49.77777067]
 [ 49.77777067  34.944897  ]]",0.16600214316332546
57,[ 69.708 -14.628],He Sure Blessed You,Frankie Valli,[119.73626786  -9.64396429],"[[838.81144645  10.45969042]
 [ 10.45969042   5.549122  ]]",Dr. Strangely Strange,[ 90.54925 -14.867  ],"[[681.59010385 -16.77689225]
 [-16.77689225   3.709198  ]]",0.8124323352647125
58,[260.547  -8.936],To Give [The Reason I Live],Frankie Valli,[119.73626786  -9.64396429],"[[838.81144645  10.45969042]
 [ 10.45969042   5.549122  ]]",Pete Molinari Featuring The Jordanaires,[145.115    -7.49225],"[[ 3.59822645e+03 -5.12084620e+01]
 [-5.12084620e+01  1.65774119e+00]]",1.9353887074793013
59,[ 96.387 -16.213],Remember When,Frankie Valli & The 4 Seasons,[113.5805     -11.77083333],"[[332.61700925  20.40019908]
 [ 20.40019908   4.58408914]]",Grachan Moncur III / Roswell Rudd / Andrew Cyrille / Archie Shepp / Reggie Workman / Amiri Baraka,[ 96.26316667 -16.03233333],"[[360.35517514 -19.62331444]
 [-19.62331444   2.99123689]]",0.12560161960326843
60,[110.152 -22.666],Summer's Coming Around Again  (LP Version),Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",Cecilia Bartoli / Orchestra La Scintilla / Adam Fischer,[106.66533333 -23.03822222],"[[927.16447811  53.76506396]
 [ 53.76506396  15.10189562]]",0.12459681970038176
61,[179.175 -21.303],James (Album Version),Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.9216866786554505
62,[157.985  -6.735],Lost In Your Love,Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",Mory Kante,[152.4076      -6.61393333],"[[ 2.31801217e+03 -1.87969415e+01]
 [-1.87969415e+01  1.31359146e+00]]",0.13554751161380715
63,[ 39.42  -15.975],Something Wonderful,Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",Kammerflimmer Kollektief,[111.85493333 -15.1414    ],"[[1738.70967226   20.54477971]
 [  20.54477971    6.36857524]]",1.7371621998286706
64,[ 57.608 -18.721],In The Wee Small Hours Of The Morning,Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.6209903580307913
65,[162.873  -8.193],Coming To Get You (LP Version),Carly Simon,[109.27972078 -12.86345455],"[[546.39999458   8.23425655]
 [  8.23425655  13.59789898]]",Los Violadores,[160.76215152  -8.23881818],"[[1.05622626e+03 7.86799700e-01]
 [7.86799700e-01 1.00744777e+01]]",0.0664290919576656
66,[ 76.986 -18.897],So Much In Love,The Tymes,[122.21897778 -11.4152    ],"[[919.97658342  25.8868934 ]
 [ 25.8868934    8.45026636]]",Jack Kerouac,[ 83.08153333 -18.57686667],"[[455.25129845  35.7664456 ]
 [ 35.7664456   10.00977725]]",0.29174654749349394
67,[147.972 -18.65 ],Somewhere,The Tymes,[122.21897778 -11.4152    ],"[[919.97658342  25.8868934 ]
 [ 25.8868934    8.45026636]]",Terje Rypdal_ Torbjørn Sunde_ Brynjulf Blix_ Sveinung Hovensjø_ Svein Christiansen,[137.35066667 -18.50233333],"[[2101.65697356   43.68305722]
 [  43.68305722    3.57398656]]",0.3234089101349604
68,[204.972 -14.616],It's A Hard Life,The Seeds,[128.96638636 -13.71209091],"[[578.56728515  -7.28816387]
 [ -7.28816387   7.10035945]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.8520540315073036
69,[97.201 -4.883],Tripmaker,The Seeds,[128.96638636 -13.71209091],"[[578.56728515  -7.28816387]
 [ -7.28816387   7.10035945]]",Sertab Erener,[95.2705 -5.242 ],"[[167.56208858  -5.111394  ]
 [ -5.111394     4.052942  ]]",0.25894579142421664
70,[132.446  -6.168],All About You (Single Version),Scars,[120.70133333  -8.56733333],"[[86.73964456 13.51831311]
 [13.51831311  2.89677189]]",TSOL,[133.84435294  -6.12470588],"[[656.67339605   7.50022131]
 [  7.50022131   2.09158709]]",0.05787820847559757
71,[185.614 -13.037],Taking the Long Way Round,Clifford T. Ward,[113.73760465 -13.62890698],"[[856.38356668  40.99637106]
 [ 40.99637106  12.86709215]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.7751814758855039
72,[187.093  -7.746],It's Better To Believe,Clifford T. Ward,[113.73760465 -13.62890698],"[[856.38356668  40.99637106]
 [ 40.99637106  12.86709215]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",0.5724987199964406
73,[107.749 -17.285],Scullery,Clifford T Ward,[124.316  -11.9254],"[[693.960737    81.3182482 ]
 [ 81.3182482   12.77380124]]",Livingston Taylor,[109.38225 -17.084  ],"[[618.24429902  51.22596908]
 [ 51.22596908   7.79412417]]",0.07436186798129665
74,[125.825 -12.515],Stand By Me,Skeletal Family,[132.89328571  -8.22828571],"[[624.2481872   10.27449765]
 [ 10.27449765   2.1913282 ]]",Randy Brecker,[124.88957143 -12.56004762],"[[1172.0138381   -57.02468107]
 [ -57.02468107   10.62672143]]",0.04232100313080444
75,[195.288  -5.637],Little Lighthouse (2001 Digital Remaster),The Dukes Of Stratosphear,[121.095      -6.1508125],"[[1058.493687     2.372514 ]
 [   2.372514     1.1832639]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",0.5924251727512075
76,[227.704  -7.082],'Til I'm Dead And Gone (Album Version),Randy Travis,[119.208125   -11.43102344],"[[1347.27894759   14.55967411]
 [  14.55967411    8.8171323 ]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",1.5180714499762358
77,[244.779  -9.014],Forever Together (Album Version),Randy Travis,[119.208125   -11.43102344],"[[1347.27894759   14.55967411]
 [  14.55967411    8.8171323 ]]",Pete Molinari Featuring The Jordanaires,[145.115    -7.49225],"[[ 3.59822645e+03 -5.12084620e+01]
 [-5.12084620e+01  1.65774119e+00]]",1.664934126606149
78,[ 61.903 -18.219],Amazing Grace (Album Version),Randy Travis,[119.208125   -11.43102344],"[[1347.27894759   14.55967411]
 [  14.55967411    8.8171323 ]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.22063667119661542
79,[ 79.042 -20.294],Here In My Heart (Album Version),Randy Travis,[119.208125   -11.43102344],"[[1347.27894759   14.55967411]
 [  14.55967411    8.8171323 ]]",Les Misérables - 10th Anniversary Concert,[ 94.06456667 -20.3152    ],"[[1125.79560458  -10.80548652]
 [ -10.80548652    8.16356809]]",0.4498190484880538
80,[211.749  -9.216],Sweet By And By - Album version,Randy Travis,[119.208125   -11.43102344],"[[1347.27894759   14.55967411]
 [  14.55967411    8.8171323 ]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",1.101583166992138
81,[132.724 -16.782],Sinking Land,Martha And The Muffins,[152.96904545 -12.70690909],"[[125.26682523  10.05296327]
 [ 10.05296327   3.29627108]]",Sweeney's Men,[135.26492308 -16.82769231],"[[920.58841646 -15.62199951]
 [-15.62199951   5.54430844]]",0.0837524686051458
82,[127.896 -21.414],Love's A Beautiful Place,The Pale Fountains,[123.37874074 -11.49944444],"[[595.47293586   4.17745977]
 [  4.17745977  11.57661095]]",Grover Washington_ Jr.;Orchestra of St. Luke's,[127.06471429 -21.64657143],"[[42.39007463 -1.40123759]
 [-1.40123759  2.92107896]]",0.1995643472356615
83,[ 61.466 -24.556],Looking In The Eye Of The World,Julie Driscoll_ Brian Auger & The Trinity,[117.8104  -13.14296],"[[1260.095689     41.84702938]
 [  41.84702938   10.96525456]]",Ludovico Einaudi / Marco Decimo,[ 87.03966667 -25.71566667],"[[1401.69097322  -65.38043056]
 [ -65.38043056    3.06189056]]",0.7458149141491677
84,[243.234  -8.736],Sweetest Operator,Lighthouse Family,[124.14406383  -8.93931915],"[[1484.72435068  -11.98860309]
 [ -11.98860309    4.50754807]]",Pete Molinari Featuring The Jordanaires,[145.115    -7.49225],"[[ 3.59822645e+03 -5.12084620e+01]
 [-5.12084620e+01  1.65774119e+00]]",1.643368167881713
85,[141.616 -18.012],The Way You Are,Lighthouse Family,[124.14406383  -8.93931915],"[[1484.72435068  -11.98860309]
 [ -11.98860309    4.50754807]]",Terje Rypdal_ Torbjørn Sunde_ Brynjulf Blix_ Sveinung Hovensjø_ Svein Christiansen,[137.35066667 -18.50233333],"[[2101.65697356   43.68305722]
 [  43.68305722    3.57398656]]",0.2630122486600214
86,[220.771 -12.203],Blue Moon Of Kentucky,Jeannie C. Riley,[125.12       -12.14786667],"[[1142.78686238    6.77530971]
 [   6.77530971    6.53302076]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.3283885090653604
