id,optimal_window,score
r3OEReAgNUsDi43w,3,0.0
cfFqUcNtKopy0Jm4,3,0.0
MoS3ifHbrrT9pfzB,3,0.0
HVZVj9bOqW4ElN58,8,4269.680651953942
Rbev15oZ0kOD4FzD,6,6613.2113464930035
0nRZDhvxdZ5ftNwv,3,1461.0814393489322
QCR0TSa8QVZAvw2d,16,4272.680651953942
ECXFxZKLBqnEwTrG,16,5488.105143623144
ZBzCrWWH35yTPv8P,9,5584.612489716291
JBqMJTfHhfltDKfx,6,14371.491251000392
j43URx1tmTiirZ0e,3,0.0
fb4FJNvYyTnwK0qK,3,9775.781865723831
YBC8ROSkfyFFRUNs,12,7159.209735495489
sNLRcKEKqaJLqFsq,9,4269.680651953942
zp0LFbOG09bow7VL,3,0.0
9FoES0qS7ATZJEEX,3,0.0
SoqnVpsc4L1Vs7by,4,5488.105143623144
CtF7XeIBraXHFVhK,8,11243.215840055762
502a2XS9UUsZ5z5k,6,10633.476513997026
gSsPmu49YUQWnTlf,6,5488.105143623144
g5pXWtYYnjx8I5tt,16,6498.42091554646
nHmx9OEQu7ydkzYQ,4,10662.033810927767
VG2DgVyll4fWnh6S,9,5484.105143623144
lQQp4nJxCBg0KYhP,3,0.0
vh5gcly9V14bYFlF,6,5488.105143623144
H6NXh69nuT6AzSZZ,9,1.0
uNSezm6bFZV1P7kM,16,11109.713063651025
dFoe2vg2ND2zkWRp,9,5488.105143623144
zoLWuPgEIOCbNHt7,3,0.0
nUfRJ1oHZiQ26xZ2,6,2868.146108533488
FhCFY3ZEjwxDcUlX,3,7481.481325870209
1ZmpmWKaDyqJZYBt,3,0.0
ZfBBcqIzmEYbTH5v,9,10708.45644149594
aNXpVxKOkX6QRbWC,9,7054.623342379572
UGqLXvmfFV1mccyr,6,3822.113034719745
uXQwfuKf7sqKXxFi,6,2.0
XPhsdXhKGswGFS85,3,11050.246288993769
7A7VJRMEiun1RcpK,4,5488.105143623144
intjatgIhSFdKVwJ,3,0.0
RXMnciThx5sREHod,8,11317.29186548456
lvRn7fedRaKDDX4X,6,5488.105143623144
jJj7RX9XNBHFrEdr,9,7640.22606943949
LxByM3YkP0Tf8p3q,3,9878.23947545408
mwxSKXmKaljNyIT7,3,6638.320385072202
DUTXx5hJpLJHU5Ap,4,9984.60826496726
1KIcWXy82tt3vTBZ,3,0.0
Mjr3oobkGOGzKAnz,3,0.0
Q83ngwYg6Drv80ri,6,4269.680651953942
QOjpOTr8e83n48lz,16,5488.105143623144
xYyREJ9SroTqeEao,4,6203.832732678143
lhgLVKKiNv7wF8fP,3,0.0
Ss5hypxnzfa9O0vO,4,2886.529083541547
NxVclaKpHBmPFppm,9,10662.033810927767
YwK2U7978IOcKvKj,9,2434.16011978158
i8EV9oYsJ7YJjMqy,9,4205.116866463978
g8S8YrZX327XuOKX,6,5488.105143623144
VYPcjZYIHcj9pPL8,8,11317.29186548456
bZKp4rq6S4IIbJVI,3,0.0
2ulpfcMJfaKiFqZr,3,0.0
UvBq0zyUtfH1ZIpn,9,8410.233732927956
TjwfnUXlcXi78L7X,8,15546.348225447318
YtpPCENWGLtSD3Oc,6,1.0
SBVhksMkBnKwfZp6,4,6430.868959460078
CZOYJJKuyuUosACw,9,3820.113034719745
5XdTx7irzP1o1Y4o,3,10369.786412582647
Aal1MwHX9bSgDwYG,8,14109.246684759144
eGiq4RVxAKBJ7MtI,6,5488.105143623144
BbQUPJtoqH4W1ccX,6,8370.63422716469
dh24nvkDqfforrSY,9,4205.116866463978
PL93Oqa8keXulv13,3,0.0
a1xCAjhxC6IVbAAr,6,4272.680651953942
2i0e9u5CmrUrij3f,6,5488.105143623144
U2KrJEH7KRgLxEfU,3,0.0
7KLriSky5Ey5HkGl,4,3875.734862068932
KGQrJNNDTjJt5qbN,3,5621.607920027881
D8u1nCspnPIixiZa,9,3820.113034719745
XsCsD4CifZpISU5J,3,0.0
SjizDRrg3ZWU97wK,3,0.0
uuuQsbpSrLSjms9Y,4,5484.105143623144
poi0y14mMbEG03Gj,6,11884.350007579309
L6fISSrVsp1CikpK,9,1.0
wE74aP11eITyI4YI,12,10976.210287246287
efyce1UspW6jqr1l,6,9772.781865723831
hf3qeQHyim46KiON,3,0.0
t6TkyfxbuAFZLb0e,4,5484.105143623144
5RDHJsYuKx1KlY4f,3,0.0
h8YyMtwIxxpTUyk0,6,10541.92678445106
hnG8IBGI5bH6kOsF,3,15394.389785751711
1AFxSR456HFd6MmV,6,10632.476513997026
CBqei63PWxvbLBA6,6,9772.781865723831
Q41vmRSinhfetv0F,24,1.0
OrH51RTkOQhwfYtt,9,10662.033810927767
8FHwpt0OUXz7foT7,8,4274.680651953942
HXW9FBGZdpXfZSDR,8,6028.4588395972805
QXhjc79jU87vJSss,4,4269.680651953942
LeuXtHC7HS3gYQXQ,3,6613.2113464930035
aHj8JEnPu27dyEbC,3,9586.620557401653
I6z6HBHDdgdt8U2v,3,0.0
GbbYeHso7KMaXXZk,3,0.0
5ubYNq898WvwJelY,3,5484.105143623144
czL4cbRM6xXV2itL,3,0.0
hFrwuGNcX7dtVRuT,4,5484.105143623144
AXrnxo9qn1RkmTcW,12,10908.001037026144
Ixb0zhypAs5VvK0J,3,0.0
GftzBstRuhmPwv4y,6,1.0
s6iBkcQERHxB0bZa,3,0.0
fwemc626tF6yYcfC,6,8025.229901183723
zyxOCKcXX1RmWpm0,3,0.0
E4TvWfFr92tOWAJ3,12,10976.210287246287
fcUYXQIiw8npgXwR,6,9082.83762503421
0JYaNceX5H5sSUJi,6,3820.113034719745
FvOVCFo5BXpSz6hv,9,7481.481325870209
x0BoMpplnzwWFbIv,6,6203.832732678143
rZp7MYlc9HPRgYnq,4,19477.909129383475
rkAvIlpupg2e81ag,3,0.0
BjkX4MbcIY4Xra1v,3,8989.62895507894
iaFlP0G0uvDiKgbW,3,0.0
bNQahbIrT6o8w1Km,9,7054.623342379572
cXLBikXAzHvgJaTf,4,5621.607920027881
Z9yXpHdVM3iQRLJ4,3,0.0
O3E7Upxyxd83iO87,12,9569.024177229925
LTiJLn6u4fJEzdI6,3,0.0
IecnnmiRKTTFbNg5,4,11516.99774481579
aETTFyZbufNqw9Pu,6,4272.680651953942
dSgHCS4f20SZ9Gpt,8,7159.209735495489
P41J7cRWrAOHTMLM,4,5621.607920027881
V5z2dqM6VORUVaUW,6,4988.4302136855495
6DbNqaYRd3maVgnu,3,0.0
bYjiCin1tdOuOg74,16,4205.116866463978
fvBn2LinPJbN0Ijx,3,0.0
dkWTr2wb1Njj6jPV,3,5488.105143623144
ErsDvwxeUX4okSDW,3,0.0
5ySCfGkudSX62r1K,3,4269.680651953942
itK24FswQ3p2cpgZ,9,4272.680651953942
dEuJjNFpmGiioyZY,9,5488.105143623144
dyilu7svPsfQoDo5,3,0.0
BXr3gX3YGptvbr8d,9,5488.105143623144
JcNb61ftSGRdgcgj,9,4205.116866463978
8OFAJSD5ZvSIBo7J,4,1.0
yWvF1HBSIWXNwU5v,3,0.0
en8JYLfk8xVJfDdt,9,5488.105143623144
o1jeVXmTPOEgy7X6,3,0.0
iB4aqqnGw5d3hmq2,6,3739.0147370033665
OBLAgOru7ZKJRaRl,6,2887.529083541547
D0KjJhql4EpMYFKP,3,0.0
wYpdQspZlz79TBKF,12,9569.024177229925
brbdpijkhiMtnwRP,3,0.0
HdC6OiROom00heTv,3,0.0
1CIcYisVdXzIYREt,16,1.0
dgPlg7I3jcPWQito,3,0.0
2B6Te8xZA8CMSEMe,3,0.0
7Wx7f7yv2ujDgGlq,3,0.0
X4GLlL9QMoc2vzL4,3,0.0
31Cip6pk8gELPEgg,8,10108.852406631164
lV3SWga4NmTbzpXY,3,0.0
2qYv6IiyMd5Cw5nV,9,10968.210287246287
rcOwnwKuHxrByrNx,3,5488.105143623144
QABFtA5886cSKdKZ,8,6710.642118261292
Gm1X6eW24hvZfHqt,8,31430.91373902697
TImzPeOP4kaINpE7,8,2868.146108533488
gU4Im8dclQFrs9n5,6,9054.192740568906
Ms1GqtZMSwqKdcHs,9,4269.680651953942
KzgUNtAKy6BT5gac,3,0.0
Z1NtUgfD1t8GpUeb,3,0.0
LeZuc8SQKztiTj0h,6,13548.562894469314
zJB6BWFhqkPeY8OA,3,10632.476513997026
79gGvHv2KqAvswk8,3,0.0
hlt6pMGlwuXFROj4,3,0.0
Y83ym0BqfG6mUZMw,3,1.0
yiEUUwicz0Mg2HJd,9,10369.786412582647
Y4x20Dciod00YO0k,3,4272.680651953942
T7ie38HgFQn9ACs0,3,3739.0147370033665
L1tnWzhedO4muWTb,12,7652.65819714845
SAA2SBcmpbhFsB8Y,8,4988.4302136855495
Mk82jSIhXQ1XsQXA,3,0.0
1MywPKpIvSPzmeZS,9,10662.033810927767
5QwKKF6UUoMgfk91,3,0.0
Ve257XDVBwPNUg7K,3,5488.105143623144
sqJiy8hCVlGf1s0c,9,4272.680651953942
cuv8qd0VdzsCsaBR,3,7156.209735495489
4aijNtzjqvCRWb2Z,12,4205.116866463978
prHUDFDdJouLOznv,3,5621.607920027881
zJfLyLCh1ENVTK2e,9,3820.113034719745
GV3aH0Os48ur7RgY,8,5773.058167083094
KGjWojZf4pxteiil,9,2886.529083541547
p1A4LObnArhyoWhy,8,1461.0814393489322
jINYnPgqIQJ6mmMl,9,9310.21817834289
HaAACyAQ1XiE1F7k,3,4272.680651953942
V6xebQbsvTZB6lqk,3,0.0
xeZyWt1Ev5w6BzUH,3,18648.715462726075
meMTxddMEzfnTqD7,3,0.0
Mj2fKURAHHwd6wVc,12,13692.943727451773
mSJue2GGn94YH226,3,0.0
l9DbgJU9eOxt7BEb,3,10662.033810927767
Fj1tpkFaiNNyv5n6,6,9586.620557401653
yPvn8CxnEYpyDMlK,6,4272.680651953942
NB6sFXtLHfEHQZAy,3,2679.612061829079
lDiclNBsr5xZK8rM,16,4272.680651953942
Qp7sC3J7OPucebNh,8,12821.852362037576
FPBK9GwyAt8CcFPM,6,13136.741300618662
m3EvoVIi4DItoGoq,3,0.0
bYvzL9r2329xog6m,6,10369.786412582647
VSUZCjL802afRsRw,9,6708.642118261292
rZScFVd5wes3C6v9,9,2886.529083541547
q7jA45sQ96L79Ci9,4,11109.713063651025
QteGs6ErLV7iRrmI,4,7054.623342379572
3ltMH5jik02hVLDF,9,15074.725701024796
UCz3SBSbfBkEWoPD,3,0.0
KBWUmNfvhuPfZtzx,3,0.0
nvF5gTDTqySoKTaI,9,3820.113034719745
AoIkE3E87vDDbEn5,3,0.0
0VcW2JfLUdUS91EW,12,10663.033810927767
aifeBuIj1TDcIPSJ,12,9310.21817834289
ovtUXYgH7WyCtzs3,3,10107.852406631164
ya5LHoH1qoNdjsEd,3,7481.481325870209
lV6yen4ODAlcQ0qe,3,0.0
rCBwys9UDbrFaqnx,3,7054.623342379572
i3dN46RXawBqWTJ0,3,0.0
XHXgWYCN36ikBJbX,6,12259.928305100082
uq8YWk4nBf3EnbjU,4,4205.116866463978
Rv2321qpUqlUTksu,9,23936.27332854867
r4RVWAAjmNtt5BvL,9,8545.361303907885
qMC43TXbLj7u6GV6,9,9772.781865723831
VsvjCo9M2ka3zA5K,3,0.0
QW1LZPfBgLQaI7cz,3,4205.116866463978
OwTbPZn3UdUkcbzr,12,5621.607920027881
eneUt3VCgx6dqxgd,3,0.0
UnqkPBeOhT2jtNKI,6,5488.105143623144
naAe68qEns40n47Y,3,0.0
jfxpDgTGxSS1S0YL,3,0.0
tgi2KXE91hOiJrCM,3,0.0
Wo9hTzN91DUALjqT,3,10632.476513997026
dJME8EeUycQLt5Xg,9,3820.113034719745
CkATShcOg2IfPjfl,3,9082.83762503421
1mbkGw4hvKIjAqPt,3,0.0
u1rx3el2qmxUiTyI,12,4618.74726300802
w0oV6RPxiSK6Ko0v,3,0.0
PgdjI4bos3cQlF0H,6,3739.0147370033665
6G3OlCkqo5aaeQrg,6,10663.033810927767
7Wyk3uWlNiqKIgAa,3,0.0
gzaaKDMmuTLkGJ62,8,3822.113034719745
UxYTT8JEGvwOlj2V,3,0.0
9NzQRPuUNdQpuXvw,3,0.0
lH01MwraHZerOpkY,4,10658.989646793038
l75k84HznVBdSGb0,3,9082.83762503421
aCeMaQQlsJ1gV8t2,9,3820.113034719745
szATDX3VBbYBNdjR,6,5484.105143623144
6RuJMRbnazkDEid7,12,10632.476513997026
htmgabdgLy99IU32,6,1.0
B3lUrYFrSXfjHnLp,12,1.0
U7ynvwJZXgwILjWh,8,1.0
4P9s3Ny397GUNITy,3,10633.476513997026
DndOXuCSdqaV1JcI,9,13275.544943498682
NFq9a3oLSVaGKJWx,16,3822.113034719745
87Dnixbghsg19VHo,3,0.0
23qcrCcQewZRMqgN,12,16150.138954550912
fA4TLE2x9rFoamM1,3,4272.680651953942
GNx8p3jIllwdtFu8,3,0.0
X9y1iL40NmfXeHN2,4,16879.027175201467
YHkD8Y5ceAUFhuJK,9,3739.0147370033665
V4QpMynGwcfO2vwv,3,0.0
XJuUx8v8ixj2ABSf,3,5488.105143623144
A3PErjeiWj9LhOjX,6,5484.105143623144
QxAkEduEuHHQtari,6,6203.832732678143
FxwLoetrkAytHmk4,3,0.0
Z2nR9n3ZgQpedvUx,9,4272.680651953942
cPxhljA8rCeIz2NQ,3,0.0
QFpPJhKT9N6Wt36L,9,7481.481325870209
PMomcnWG9vB8U7k9,6,9760.785795577085
YSCkDcEWu055T4mk,3,0.0
457zeAGLYdmg7aYw,3,13341.645872756846
bahMZziomwcw8ge4,3,13548.562894469314
XOz0HH12xrIqHPYy,3,0.0
i5tvJqyapLMO2BUN,3,0.0
mEU5Tub6cekNIUVc,3,4269.680651953942
Ra4uzDvoV3vjMYgA,3,0.0
7sFqm53hVAE1nyr6,3,9586.620557401653
Qywq4rok9R1lMS7u,3,0.0
AyzKEkr3T7TpexUG,4,3875.734862068932
5yJPKXVMaXsukhHv,3,9773.781865723831
EXYXNDZjjplcoATC,4,1299.1843205090654
Vu1NBe3K87N9jlQQ,3,0.0
eCTjJ4I2rHXPm4wO,8,2434.16011978158
GzKiiMqkBwJQmyJk,3,7664.9141720270745
gaKNJZT2G7U2csTJ,6,1.0
COmba8s0SWGd1myq,8,4272.680651953942
1JqyrPMpUssfwQFA,3,15791.15375567695
219BLmgBS9O9VeOT,3,0.0
LtXDkBzg2MXqDUFv,3,10632.476513997026
uCS0MPcrmrtDMbgr,9,4773.419675186652
pDeGUCA7CkVXTDta,3,0.0
NQkSotIG9H6c9VVC,3,0.0
ROc1o1iwbNZxc4Mm,4,16154.030659533251
XZ5UX234jN2PARId,3,0.0
UaJt8VemdbZOW6Uw,8,5488.105143623144
K7CpcNcgCqVijONC,9,2886.529083541547
73q44EqTSXpS1jeS,3,0.0
VFz60KPCOCrY9TNy,3,1461.0814393489322
QLFA23IQE8z8UVLd,12,3820.113034719745
wSywq1AnKb8AKpi3,9,12676.231262407453
LvoFs2ZOKzt3zkHd,9,4272.680651953942
S8t6OOeWcoo2ypXQ,6,7054.623342379572
cHEj7hYNDZWRFSWR,4,7156.209735495489
Y32bVpvuEsUAiJLr,3,0.0
FiRcRRWZYfVpT2NQ,3,0.0
ecZa9enj3U6jFMpa,6,2886.529083541547
mNdeDLjHBm7CBePx,3,1.0
MhOsXg0DZGlyMjQY,9,7006.787667757602
k7KxTOMX4f18C1lC,6,5484.105143623144
4rwTwiKbbqeBZTv8,3,0.0
TNsdnE72l5NtjJQB,3,4272.680651953942
uFFv1qW3vqRbtsDb,6,9826.724786491859
kggJdH4lgG9Y9Uh1,3,6220.711621096607
HsTlLTqTqBqzGUKc,3,0.0
OsIp6LGCsUvpB0ii,6,11259.74020884355
SR65feRS2KTONMRZ,9,3820.113034719745
FG6l9cvUBA280V0c,4,9312.21817834289
QiZrGAVnZpwLZi9z,3,0.0
NYQRcQprjdwMRU9O,3,0.0
mdbk7vVaE1HboJnU,3,4272.680651953942
JwuMDjL6KzPe5B28,6,4269.680651953942
jKD3XnlWI7pRq5vW,3,0.0
YXIiAf1fQQgaNreM,6,3823.113034719745
KHKALxGZrCIcxPlB,6,4272.680651953942
LEMzA4A3uGjjLntz,3,0.0
IJRqAdaBcOo7tdJK,3,17371.67592918906
c2gryrA20e5R7bDa,3,10369.786412582647
69VW4hpZscQzXbTe,8,5489.105143623144
OwDdvxna46gPienf,9,8545.361303907885
YvAUlQpuAclO9b06,9,11968.136664274334
HlsNEWLkPD9vbx6U,3,0.0
wQ7G7zYSxyAgJitN,3,0.0
W4xU6MFkMZuxRQbK,9,7054.623342379572
PAyFzMx2hLnfBGCD,6,8784.233488527778
lZlHoTgCOjvQKNyy,3,0.0
C0mhpBhouqyLmYSK,6,1461.0814393489322
Po0D8LDorKfhodAP,3,0.0
eBY4B3CRPzsRgFNE,4,21782.148957251753
NJonPkZi6nNi8NKS,9,9689.222010087122
LGBfM9p3KtYgHNVR,6,4989.4302136855495
V9g8yNCrOCp1JTjv,3,5488.105143623144
AQKRl2l6jlGbKqcI,6,8094.793686673687
72rdo5r4X2MiFkHF,3,0.0
oJbLFzfGodSA74Pp,3,9586.620557401653
sgNefytrE4Lzu5Ap,6,4618.74726300802
PbeJpzOytm2qNbDd,3,0.0
kLgoPp9CY2VqNqaP,9,4269.680651953942
eEuKD9S7wVsgeHf3,4,3739.0147370033665
hculIF5VdJACpdwb,3,0.0
mSMTijyrPlONmg4U,3,0.0
TC8lKKsqqMjZ9Rbr,9,16150.138954550912
tQZvNGuTwhmLNqte,3,3823.113034719745
CKCY4cqLCBrzWe53,3,0.0
yEz9rqTTulkiDDm7,16,1.0
lLG1pgrXl2cqxF9R,6,1.0
vQ7sLJanmAFMxaei,9,10662.033810927767
6EzICdy0NRPVs4QL,3,7348.643274425624
DoZiOErhNBHq6iWH,4,7054.623342379572
Jcoule2iddCkTjfE,3,0.0
PWCgheV29dAmnxUb,9,5488.105143623144
H1ntup2JLGwrttDx,4,3739.0147370033665
VJYdw8qOF5Trcq62,9,10370.786412582647
kydAU1TYMpk1ce8W,3,0.0
q7U8eiA3KTh8xdYn,3,10369.786412582647
7LfUFSaaFyxcITaK,8,3820.113034719745
w80IVwuH4w37IWXb,3,0.0
6RtASbGhutcJyhj0,3,0.0
TMaJxVqK8x1yoxmC,3,5621.607920027881
oBiOfx4Y6I2tQxgL,24,9772.781865723831
O7h1wEoFvTFDPBPq,9,2886.529083541547
bsRvcBH6GYDn0KLf,3,6709.642118261292
WNjYyr8lOtUsxp6j,3,7481.481325870209
LQ0oT4thEz2UaTqL,3,4269.680651953942
mKd7VDHx6VZDrjQB,6,1461.0814393489322
Me5n3BqREUnpncVQ,9,8545.361303907885
pkOCpx5g6SNMa9z5,4,3739.0147370033665
1f1RCJoqJZKJQyEC,9,4269.680651953942
4xYdj1WQYnfLCl11,3,6079.828702356952
qNQD9UOrBYvuOmAz,4,10662.033810927767
wi20guqqLvHXZvTu,6,10458.433419791947
zjGM5yeSbXK1Lk6c,3,0.0
siHK1g75ahuQCV2X,3,1461.0814393489322
ZcYhf3swb9kytzD1,9,5488.105143623144
soeOPfraIf3bSQYs,3,5200.096176352299
WCXvqcsEZEO27wTR,6,5621.607920027881
t7u4Pgh7Ldjy2OQ4,6,6499.725096548824
42h3BpARYzTtEGo3,3,0.0
y7f2LHMxYXlz2c8J,4,5489.105143623144
W0JN7dYppGM0g3nv,3,1461.0814393489322
VcsKMIL1ERau4l1l,9,5484.105143623144
8SzyA8Ql6zwwunGy,9,5489.105143623144
shyc95NJPZ72aMkh,3,10369.786412582647
zJyxJb0uJf8bvshH,6,2886.529083541547
KQbb933YyJlJNPWt,6,4272.680651953942
bhK7I31l4qRwuUbZ,3,0.0
LdxpY6B3XQcazU0Q,4,6886.3434067761955
v3sVgjaIrworTkxN,3,0.0
XhQiW4s0dhNef2H5,32,9082.83762503421
3tYcfQSvQ8Gcgwno,4,10633.476513997026
vwr3RjicFGYzSWAm,3,4272.680651953942
HhnTUIZ040LnpSZm,3,0.0
11f0BL0tnpRLjcgp,6,2886.529083541547
o9V25ss6N2OsOZuh,6,10908.001037026144
WirODrLF84Bp9HGK,3,0.0
TKCScJ2KJ78HCRcB,3,5546.7062284086705
Y6wQC027YAWOQuBT,4,8989.62895507894
u6pA00C2avBo4v5T,3,10632.476513997026
ncCWm7mug2a9RRhp,3,0.0
Zabepjs4yDmOZ7Dw,3,12109.525688645354
GUFtHP8LbuBodA2a,6,4269.680651953942
CSApNcsEc5Qgy80A,3,10632.476513997026
6ACEM6dz2qfF878I,6,1.0
vDRSMUzGdM7zB6Jj,3,0.0
9DDoiTcbiPfhl9wY,3,0.0
wGhN8OqYAZEwQFSw,3,0.0
YcFm2gYtu8wQMCs2,6,5488.105143623144
VOqPgoGT5vVkLa3n,3,0.0
LYaXxXfn2DbXu7c4,4,8373.41674100675
8OXICosynhsMLMv5,3,0.0
iG97f71i4IsxLNLI,6,2886.529083541547
Bch3pmtq6pE5OfoB,6,10632.476513997026
whGGpEnEGYJUXk3a,6,24358.64215321844
YRfA1vMbTHoYqdzZ,3,0.0
nvScbH7RJBqQwMIS,9,7054.623342379572
QxDukJN7f9w9WOkp,3,0.0
wSFvhbSbSGYSLZph,3,0.0
IRZsSjqinoXABtuk,9,4269.680651953942
1vjtB7mPOMj5qbp3,3,8107.339867469926
UuukSwwCli7ew9m5,3,5488.105143623144
nI8bf5SKmKnQUHnR,3,0.0
2uoKQYOZa21Ll3Qc,3,0.0
kTDmcHeyW2hcF6bQ,4,5488.105143623144
J9h1mVEh21RDIkJO,3,0.0
gnu10vIqYQvaqcYB,3,1.0
ysjxL2qukxEfwTJq,9,7054.623342379572
8K5EcMLBtsGoA7EZ,3,0.0
vBQFE1yuvWp893Fb,3,0.0
QcdkMId5d8ATeVKv,3,0.0
OfCZARvlGUHZTUht,16,4205.116866463978
PJGUsjb2i33lMQDB,6,4785.5120886149625
oYrmqarw52MxCQsE,4,9082.83762503421
FU5HolU1UWdTd7YT,12,14867.150677391746
yNNi6awVlmmDcyhh,3,3822.113034719745
RLBtEvYLvp9ItACe,3,0.0
FIrgxhmiKAKm7tBk,8,5484.105143623144
biD4uNzlT6JM6bvJ,9,5621.607920027881
ARAbmSl33s9qdv3W,6,3822.113034719745
sSesDvwWDYLQXwds,6,9894.288571981822
AJPVgcLjyvP4j55i,3,0.0
sBTE2PY36GSuYdLt,3,9772.781865723831
5IKM3soDe7kBhm4n,8,9587.620557401653
dymn4KJ6TtUuiKcZ,3,7054.623342379572
OB3IPz6majFPs9bc,12,9310.21817834289
Unm2k636mJk61Zcx,6,2887.529083541547
ArJGMpFcEtEpVMe4,6,7091.645950005525
CdVDcZawooKYhgjQ,6,2886.529083541547
0Y5TcGlWJnW7IVdK,24,3820.113034719745
W0RexNIZuGKa3Nl9,3,0.0
otbuWHy5yfM6VDf7,3,10352.22608349637
r0TCD35DVUEwpHw4,3,0.0
HaUDb3ABW9T2H4vl,6,3.0
dy1Hb6N8y16a4DXT,3,0.0
8NHruLIbXvrIKrAY,6,3822.113034719745
34E64yNJ5KFc6C9A,9,5488.105143623144
fxqeMgaILcxhDOXV,3,0.0
4S5TzGUyoD3frg8B,3,5489.105143623144
QeXAFSpUHjlc5HVi,3,5621.607920027881
YHUYOL0O1Hp71LEm,3,0.0
1IGKFs0ZcfVqUqgO,6,2887.529083541547
q4ceMpxC5MY3YXQl,9,4205.116866463978
LRILkXdXu90swepd,3,0.0
whIllR2gbalioZMP,6,12473.1496409432
TZ0NRZUo1zC8CU4W,6,2221.8891326310677
dALlyhSVC0jKXNiw,8,1299.1843205090654
ngtW9p7QAsQkuZa0,9,1.0
nDBpDVl8GuqQtJZE,9,1.0
9B6dNFjeE90pp4x6,3,0.0
wLtONYib4uy8yI7I,12,8027.229901183723
7tVxhvuWubgrf413,6,2222.8891326310677
MuP6PFdPTAg2iAuc,6,2679.612061829079
dfiGMYi6lD7BeBW3,12,9642.99168618484
ktP2flSM92svY4C3,9,14452.58954871677
eJfTDBYMfpF21QTM,3,10369.786412582647
SNp9eKd3xnbj7sZP,6,11968.136664274334
8mWcCf1jwTTW3v4C,9,5488.105143623144
E6rHStg8YohxJqVL,8,5621.607920027881
T7tL80eZh7WOSDPo,3,7559.127771723111
62aYfkFL4ifVIwfx,6,4274.680651953942
WnVtzdXeYnKlalRU,3,4269.680651953942
HPokTuEbm1cORTgi,6,10632.476513997026
BVHQTf26BaHOM6G0,3,0.0
nOWImSBCsKz73uwr,3,0.0
UGLl7kODdqHAob3q,3,3820.113034719745
aMAzYTYxCp4hrjgG,8,11556.760140889603
cAOxh07g4FhwlmkB,6,7160.209735495489
MnDqNd92RwoQbNVP,4,4205.116866463978
LubUCb7g2IU0IjqQ,6,3822.113034719745
Y0i8e7tADanDZgqL,3,0.0
jUGjh936OAuxkPs1,4,1.0
OXpfWulhlXVd17aK,3,3739.0147370033665
RfDUohaeTIuCE35M,4,5489.105143623144
1OPzJecV9yJP1sAD,3,0.0
gXb13tV18JBcCK8H,3,0.0
SjoFLPJ5SCiTjDkO,9,5621.607920027881
6isHaGI2T5CjrAcA,8,7640.22606943949
cUtnKV2vkqB3hhkX,6,3822.113034719745
uqEI7DFsq3HKB8LV,6,8374.63422716469
80LS3ppeVurlHCgr,3,0.0
MMfXVincOjHJ7Lfy,4,4618.74726300802
qqL6FZK6eKuypAXo,6,3875.734862068932
a1wvY1lOg7h6fInB,3,4618.74726300802
WGdMGbULVyZPUt6c,4,6919.97490978967
